ocid,category,is_repair,sector,title,value,region,locality,street,buyer,supplier_eik,supplier,n_tenderers,start_month,planned_days,overrun_days,has_amendment
ocds-e82gsb-541601,works,0,other,"„Изпълнение на СМР по изграждане на училищна STEM среда и високотехнологични оборудвани и свързани класни стаи в СУ ,,Хр",57950,BG313,гр. Козлодуй,"ул. ""Хан Аспарух"" № 5","СРЕДНО УЧИЛИЩЕ ""ХРИСТО БОТЕВ""",204503129,НИКИ СТРОЙ 17 ЕООД,,1,21,0,0
ocds-e82gsb-550133,works,1,water,"Извършване на строително-ремонтни и монтажни работи на сгради, сградни и площадкови инсталации, собственост на „Водоснаб",148274.65,BG413,гр. Благоевград,ул. АНТОН ЧЕХОВ №3,ВОДОСНАБДЯВАНЕ И КАНАЛИЗАЦИЯ ЕООД,200171957,ВЕНДЕС - ИНЖЕНЕРИНГ ЕООД,,4,365,0,0
ocds-e82gsb-551788,works,1,roads,"Инженеринг (проектиране, строителство и авторски надзор) за обект: „Основен ремонт и/или рехабилитация на пътната част н",1142633,BG423,гр.Велинград,ул. ХАН АСПАРУХ №35,ОБЩИНА ВЕЛИНГРАД,201332388,Делчев Инженеринг ООД,,5,112,0,0
ocds-e82gsb-523261,works,1,roads,„Изграждане на контролно - технически пункт III категория за извършване на периодични технически прегледи на пътни прево,607695.97,BG411,гр. София,"ул. ""Житница"" № 21",СТОЛИЧЕН АВТОТРАНСПОРТ ЕАД,204352894,СИСКОМ ИНЖЕНЕРИНГ АД,,1,351,0,0
ocds-e82gsb-533411,works,1,other,"„Извършване на строително-ремонтни работи, свързани с нормалната експлоатация на подземен гараж в административната сгра",256661.54,BG411,гр. София,ул. ТРИАДИЦА № 8,МИНИСТЕРСТВО НА ЕНЕРГЕТИКАТА,103785856,ПАНОВ ЕООД,,12,76,0,0
ocds-e82gsb-522701,works,0,other,"Извършване на топлоизолационни работи по енергийни съоръжения, топлопреносни мрежи, абонатни станции, инсталации за ВОИ ",1604109.61,BG421,гр. Пловдив,ул. Христо Г. Данов №37,ЕВН БЪЛГАРИЯ ТОПЛОФИКАЦИЯ ЕАД,201098985,ЕКОВАТ - БЪЛГАРИЯ ЕООД,,1,730,0,0
ocds-e82gsb-522179,works,1,other,„Текущ ремонт на помещения в ученическо общежитие – блок №1 (сграда с ид. №77195.725.4.3 с неразделна част котелно и пом,125946.63,BG422,гр.Хасково,бул. СТЕФАН СТАМБОЛОВ №.8,ЦПЛР-ОБЕДИНЕНИ УЧЕНИЧЕСКИ ОБЩЕЖИТИЯ,126729838,ЕКО ТРАДЕКС ГРУП АД,,1,181,0,1
ocds-e82gsb-546110,works,0,other,„Изпълнение на СМР за „Изграждане на училищна STEM среда и високотехнологични оборудвани и свързани класни стаи в ОУ „Хр,49998,BG313,гр.Мездра,ул.ГЕОРГИ ДИМИТРОВ №.10,"ОСНОВНО УЧИЛИЩЕ ""ХРИСТО БОТЕВ""",204503129,НИКИ СТРОЙ 17 ЕООД,,1,21,0,0
ocds-e82gsb-551683,works,1,other,"Ремонт на физкултурния салон и обслужващи помещения във ФСГ „Васил Левски“, гр. Добрич",136296.54,BG332,гр.Добрич,ул. ГЕН.ГУРКО №.1,"ФИНАНСОВО-СТОПАНСКА ГИМНАЗИЯ ""ВАСИЛ ЛЕВСКИ""",208401844,ПРОЕКТ ИНЖЕНЕРИНГ 1 ЕООД,,2,59,0,0
ocds-e82gsb-544368,works,0,other,„Изграждане на две фотоволтаични електроцентрали за собствени нужди и батерии с номинални мощности 15kW и 27kW,114941.75,BG324,гр.Цар Калоян,пл. ДЕМОКРАЦИЯ №.1,ОБЩИНА ЦАР КАЛОЯН,207384235,ПЕ Проект ЕООД,,1,162,0,0
ocds-e82gsb-553731,works,0,other,Изпълнение на строително-монтажни работи за изграждане на STEM център в съществуващата учебна база на 104то ОУ “Захари С,44925.29,BG411,гр.София,кв. ЕМИЛ МАРКОВ ул. КОСТЕНСКИ ВОДОПАД №.60,"104-ТО ОСНОВНО УЧИЛИЩЕ ""ЗАХАРИ СТОЯНОВ""",130508678,ЕПОС ГРУП ЕООД,,3,63,0,1
ocds-e82gsb-543379,works,1,roads,„Текущ ремонт на вътрешно квартално пространство – „Текущ ремонт на тротоарна настилка и оформяне на места за паркиране ,33653.53,BG343,гр.Ямбол,ул. Г.С.РАКОВСКИ №.7,ОБЩИНА ЯМБОЛ,200436836,ГОЧЕВ СТИЛ ЕООД,,12,255,0,0
ocds-e82gsb-520932,works,0,other,Резидентна грижа за пълнолетни лица с физически увреждания и център за специализирана подкрепа на лица с увреждания и те,2107187.92,BG331,гр.Провадия,ул. ДУНАВ №.39,ОБЩИНА ПРОВАДИЯ,131324873,НЕТ ЕВРО ЕООД,,12,162,0,0
ocds-e82gsb-534984,works,1,parks,"„ИЗПЪЛНЕНИЕ НА ТЕКУЩ РЕМОНТ ЗА ПОДОБРЯВАНЕ УСЛОВИЯТА ЗА СПОРТ НА СТАДИОН ""БУРДЕНИС"", ГР. СВИЛЕНГРАД""",248488.37,BG422,гр.Свиленград,бул. БЪЛГАРИЯ №.32,ОБЩИНА СВИЛЕНГРАД,202627726,Джерамис Интернешънъл ЕООД,,1,202,0,0
ocds-e82gsb-526463,works,1,other,"Ремонт и саниране сграда КАС и ЗРУ във в/ст ""Лудогорие""",131808.39,BG323,гр.Русе,ул.Борисова №.27,МРЕЖОВИ ЕКСПЛОАТАЦИОНЕН РАЙОН - РУСЕ,835013079,ЕМУ АД,,4,104,0,0
ocds-e82gsb-553989,works,0,other,"Инженеринг – проектиране, изпълнение на CMP и авторски надзор за инсталиране на фотоволтаични системи (ФЕЦ) до 30 kW в „",23666.6,BG313,гр. Мездра,ул. ХРИСТО БОТЕВ № 27,ОБЩИНА МЕЗДРА,205705120,Смарт Електрикс ЕООД,,3,88,0,0
ocds-e82gsb-544924,works,1,public,„Ремонт на съществуващи площадки за игра № 4 и № 5 в двора на ДГ „Мирослава“ – гр. Пловдив”,33333.33,BG421,гр. Пловдив,бул. Пещерско шосе № 28,"ДЕТСКА ГРАДИНА ""МИРОСЛАВА""",115825867,ПРОИНВЕСТ СТРОЙ ЕООД,,12,11,0,0
ocds-e82gsb-516941,works,1,other,"“Инженеринг-проектиране, осъществяване на авторски надзор и строително ремонтни работи за реконструкция на съществуващи ",2125696,BG314,гр.Искър,ул. ГЕОРГИ ДИМИТРОВ №.38,ОБЩИНА ИСКЪР,200388512,ИВЕЛИНСТРОЙ ЕООД,,12,365,0,0
ocds-e82gsb-537942,works,1,other,"„Реставрация, реконструкция и преустройство на Сграда на Девическа и Стопанска гимназия (училище на Тодор и Анна Пулиеви",537578.96,BG421,гр. Карлово,ул. ПЕТКО СЪБЕВ № 1,ОБЩИНА КАРЛОВО,202028826,ДИ ЕН ЕС ЕС ЕООД,,1,131,0,0
ocds-e82gsb-484537,works,0,other,Изграждане на дига №2 и №3 на клетка №3 на депо „Садината“,607414.75,BG411,гр.София,ул. МОСКОВСКА №33,СТОЛИЧНА ОБЩИНА,205663275,АТЛАС БИЛД ИНЖЕНЕРИНГ ЕООД,,1,396,0,1
ocds-e82gsb-523837,works,0,other,"„Избор на изпълнител за инженеринг (проектиране, строителство и авторски надзор) за енергийно обновяване на многофамилна",358669.03,BG412,гр. Елин Пелин,"Пл. ""Независимост"" № 1",ОБЩИНА ЕЛИН ПЕЛИН,202571423,СЕТАТЕХ ЕООД,,12,175,0,0
ocds-e82gsb-539454,works,1,parks,"„Ремонт и поддръжка на детски, спортни и фитнес площадки, съоръжения и елементи от инфраструктурата за широко обществено",269900,BG331,гр. Аксаково,ул. Г.ПЕТЛЕШЕВ № 58Б,ОБЩИНА АКСАКОВО,040023170,БОКАТ-БОНЕВИ ЕООД,,1,730,0,0
ocds-e82gsb-553511,works,0,other,"Инженеринг – проектиране, изпълнение на CMP и авторски надзор за инсталиране на фотоволтаични системи (ФЕЦ) до 30 kW в „",23666.6,BG313,гр. Мездра,ул. ХРИСТО БОТЕВ № 27,ОБЩИНА МЕЗДРА,205705120,Смарт Електрикс ЕООД,,3,88,0,0
