ocid,category,is_repair,sector,title,value,region,locality,street,buyer,supplier_eik,supplier,n_tenderers,start_month,planned_days,overrun_days,has_amendment
ocds-e82gsb-504033,services,0,other,"„Осигуряване на охрана на обекти на „Югозападно държавно предприятие” ДП и териториалните му поделения, включваща жива о",482867.12,BG413,гр. Благоевград,"""Зора"" №.18",ЮГОЗАПАДНО ДЪРЖАВНО ПРЕДПРИЯТИЕ ДП,203123056,ВТА СЕКЮРИТИ ЕООД,,9,1096,0,1
ocds-e82gsb-565211,services,1,roads,"Упражняване на авторски надзор по време на строителство на обект: „Въвеждане на мерки за енергийна ефективност, реконстр",2556.46,BG322,гр. Севлиево,"пл. ""Свобода"" № 1",ОБЩИНА СЕВЛИЕВО,203911957,АЛФА ПИ ПРОДЖЕКТ ООД,,3,96,0,0
ocds-e82gsb-561385,services,0,other,Предоставяне срещу заплащане на програмно време в програмата на БНТ 1,23115.5,BG411,гр.София,БУЛ. ЦАРИГРАДСКО ШОСЕ №.125,"ИЗПЪЛНИТЕЛНА АГЕНЦИЯ ""ПРОГРАМА ЗА ОБРАЗОВАНИЕ""",000672350,БЪЛГАРСКА НАЦИОНАЛНА ТЕЛЕВИЗИЯ,,2,54,0,0
ocds-e82gsb-562823,services,0,other,„Упражняване на строителен надзор по време на СМР по обект: „Внедряване на мерки за енергийна ефективност в общински сгр,800,BG425,гр.Джебел,ул. ЕДЕЛВАЙС №19,ОБЩИНА ДЖЕБЕЛ,108507750,ЕКОИНЖЕНЕРИНГ ЕООД,,5,381,0,0
ocds-e82gsb-422553,services,0,other,Изпълнение на Програма за мониторинг на обектите съгласно ПМС № 74/1998г. за периода 2025 – 2028 г. по две обособени поз,1070791.36,BG411,гр. София,"бул. ""Джеймс Баучер"" №66, ет. 4",ЕКОИНЖЕНЕРИНГ-РМ ЕООД,000713270,ДИАЛ ООД,,1,1095,0,1
ocds-e82gsb-546451,services,0,other,„Отпечатване и пакетиране по приложено разпределение на свитъци за белова и листове за отговор с бланка за провеждане на,446295.95,BG411,гр.София,ЦАРИГРАДСКО ШОСЕ №.125 ет.3,ИНСТИТУТ ПО ОБРАЗОВАНИЕТО,175206054,ДЕМАКС ДИ ПИ АЙ АД,,2,364,0,0
ocds-e82gsb-520703,services,0,other,ИЗБОР НА ИЗПЪЛНИТЕЛИ ЗА ИЗВЪРШВАНЕ НА ОЦЕНКА НА СЪОТВЕТСТВИЕТО НА ИНВЕСТИЦИОННИЯ ПРОЕКТ И УПРАЖНЯВАНЕ НА СТРОИТЕЛЕН НАДЗ,11120.6,BG412,гр.Божурище,бул. ЕВРОПА №.85,ОБЩИНА БОЖУРИЩЕ,130059361,СУПЕР В 99 ООД,,2,730,0,0
ocds-e82gsb-562221,goods,0,other,"„Доставка на електрическо превозно средство, вкл.свързана зарядна станция за предоставяне на социални услуги в Община Уг",41841.05,BG315,гр. Угърчин,"пл. ""Свобода"" №1",ОБЩИНА УГЪРЧИН,207450735,ЕС ЕФ ЕЙ АУТОМОТИВ,,4,47,0,0
ocds-e82gsb-531020,services,0,other,Изработване на покривала за полева палатка УМЕ във военно формирование 36150- Стара Загора,42437.23,BG411,София,"бул. ""Ген. Тотлебен""№34",Военновъздушни сили,123753232,МАДЛЕН ЕООД,,11,134,0,1
ocds-e82gsb-562777,goods,0,other,"Доставкa на конвексен трансдюсер, съвместим с ехографски апарат, модел Logiq Totus, производство на GE HealthCare",9200,BG411,гр. София,"ул. ""Бяло море"" № 8","УНИВЕРСИТЕТСКА МНОГОПРОФИЛНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ ""ЦАРИЦА ЙОАННА-ИСУЛ"" ЕАД",208048682,Сантис Медикъл Солюшънс ЕООД,,5,425,0,0
